Photo Name,Name,Site,Habitat,Pole,Quad,Year,Pole ID,Quad ID,Genus,Wide.Diameter.cm,Perp.Diameter.cm,Coral Number,Coral ID,No.Branches,No.Bitten.Branches,No.Scars.Massive.Corals,Part.Dead.Colony,Out.of.frame,No.Macroborers,Notes
mcr_lter1_fringingreef_pole3-4_qu1_20060417,Rebecca,LTER1,Fringing Reef,3,1,2006,LTER1-Fringing Reef-2006-P3,LTER1-Fringing Reef-2006-P3-Q1,Massive Porites,12.531,3.448,1,LTER1-Fringing Reef-2006-P3-Q1-coral1,0,0,2,Yes,No,0,thin scrap-like scars
mcr_lter4_fringingreef_pole3-4_qu3_20100413,Rebecca,LTER4,Fringing Reef,3,3,2010,LTER4-Fringing Reef-2010-P3,LTER4-Fringing Reef-2010-P3-Q3,Massive Porites,4.599,2.837,1,LTER4-Fringing Reef-2010-P3-Q3-coral1,0,0,1,No,No,0,covered by transect tape
mcr_lter4_fringingreef_pole3-4_qu3_20100413,Rebecca,LTER4,Fringing Reef,3,3,2010,LTER4-Fringing Reef-2010-P3,LTER4-Fringing Reef-2010-P3-Q3,Massive Porites,4.381,2.294,2,LTER4-Fringing Reef-2010-P3-Q3-coral2,0,0,0,No,No,0,covered by transect tape
mcr_lter4_fringingreef_pole3-4_qu3_20100413,Rebecca,LTER4,Fringing Reef,3,3,2010,LTER4-Fringing Reef-2010-P3,LTER4-Fringing Reef-2010-P3-Q3,Massive Porites,8.451,7.440,3,LTER4-Fringing Reef-2010-P3-Q3-coral3,0,0,1,Yes,No,0,covered by transect tape
mcr_lter3_fringingreef_pole5-6_qu6_20130412-1,Mallory,LTER3,Fringing Reef,5,6,2013,LTER3-Fringing Reef-2013-P5,LTER3-Fringing Reef-2013-P5-Q6,Massive Porites,8.666,0.688,8,LTER3-Fringing Reef-2013-P5-Q6-coral8,0,0,4,Yes,No,0,covered by transect tape
mcr_lter4_fringingreef_pole2-3_qu4_20130412,Mallory,LTER4,Fringing Reef,2,4,2013,LTER4-Fringing Reef-2013-P2,LTER4-Fringing Reef-2013-P2-Q4,Massive Porites,10.162,6.049,2,LTER4-Fringing Reef-2013-P2-Q4-coral2,0,0,1,Yes,No,1,covered by transect tape
mcr_lter4_fringingreef_pole2-3_qu3_20130412,Mallory,LTER4,Fringing Reef,2,3,2013,LTER4-Fringing Reef-2013-P2,LTER4-Fringing Reef-2013-P2-Q3,Massive Porites,11.533,11.008,1,LTER4-Fringing Reef-2013-P2-Q3-coral1,0,0,1,No,No,3,covered by transect tape
mcr_lter3_fringingreef_pole5-6_qu6_20130412-1,Mallory,LTER3,Fringing Reef,5,6,2013,LTER3-Fringing Reef-2013-P5,LTER3-Fringing Reef-2013-P5-Q6,Massive Porites,24.929,10.219,9,LTER3-Fringing Reef-2013-P5-Q6-coral9,0,0,6,Yes,No,22,covered by transect tape
mcr_lter4_fringingreef_pole2-3_qu5_20130412,Mallory,LTER4,Fringing Reef,2,5,2013,LTER4-Fringing Reef-2013-P2,LTER4-Fringing Reef-2013-P2-Q5,Massive Porites,20.343,19.061,2,LTER4-Fringing Reef-2013-P2-Q5-coral2,0,0,3,Yes,No,24,covered by transect tape
mcr_lter3_fringingreef_pole5-6_qu7_20100413,Mallory,LTER3,Fringing Reef,5,7,2010,LTER3-Fringing Reef-2010-P5,LTER3-Fringing Reef-2010-P5-Q7,Massive Porites,14.638,8.654,2,LTER3-Fringing Reef-2010-P5-Q7-coral2,0,0,4,Yes,No,29,covered by transect tape
mcr_lter5_fringingreef_pole4-5_qu4_20060421,Garrett,LTER5,Fringing Reef,4,4,2006,LTER5-Fringing Reef-2006-P4,LTER5-Fringing Reef-2006-P4-Q4,Massive Porites,18.848,3.810,1,LTER5-Fringing Reef-2006-P4-Q4-coral1,0,0,0,Yes,No,1,covered in sediment
