Photo Name,Name,Site,Habitat,Pole,Quad,Year,Pole ID,Quad ID,Genus,Wide.Diameter.cm,Perp.Diameter.cm,Coral Number,Coral ID,No.Branches,No.Bitten.Branches,No.Scars.Massive.Corals,Part.Dead.Colony,Out.of.frame,No.Macroborers,Notes
mcr_lter1_fringingreef_pole2-3_qu8_20060417,Rebecca,LTER1,Fringing Reef,2,8,2006,LTER1-Fringing Reef-2006-P2,LTER1-Fringing Reef-2006-P2-Q8,Massive Porites,28.277,2.103,6,LTER1-Fringing Reef-2006-P2-Q8-coral6,0,0,2,Yes,No,0,immune response
mcr_lter3_fringingreef_pole4-5_qu6_20100413,Rebecca,LTER3,Fringing Reef,4,6,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q6,Massive Porites,15.545,10.940,2,LTER3-Fringing Reef-2010-P4-Q6-coral2,0,0,0,Yes,Yes,1,lots of thin scars
mcr_lter3_fringingreef_pole1-2_qu2_20060418,Rebecca,LTER3,Fringing Reef,1,2,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q2,Massive Porites,15.255,3.431,7,LTER3-Fringing Reef-2006-P1-Q2-coral7,0,0,0,Yes,Yes,0,
mcr_lter3_fringingreef_pole2-3_qu8_20060418,Rebecca,LTER3,Fringing Reef,2,8,2006,LTER3-Fringing Reef-2006-P2,LTER3-Fringing Reef-2006-P2-Q8,Massive Porites,6.170,0.725,2,LTER3-Fringing Reef-2006-P2-Q8-coral2,0,0,0,Yes,No,0,
mcr_lter3_fringingreef_pole3-4_qu6_20060418,Rebecca,LTER3,Fringing Reef,3,6,2006,LTER3-Fringing Reef-2006-P3,LTER3-Fringing Reef-2006-P3-Q6,Massive Porites,5.482,2.722,2,LTER3-Fringing Reef-2006-P3-Q6-coral2,0,0,0,Yes,Yes,0,
mcr_lter3_fringingreef_pole4-5_qu2_20060418,Rebecca,LTER3,Fringing Reef,4,2,2006,LTER3-Fringing Reef-2006-P4,LTER3-Fringing Reef-2006-P4-Q2,Massive Porites,10.433,2.593,3,LTER3-Fringing Reef-2006-P4-Q2-coral3,0,0,0,Yes,No,0,
mcr_lter4_fringingreef_pole1-2_qu6_20100413,Rebecca,LTER4,Fringing Reef,1,6,2010,LTER4-Fringing Reef-2010-P1,LTER4-Fringing Reef-2010-P1-Q6,Massive Porites,4.962,1.362,3,LTER4-Fringing Reef-2010-P1-Q6-coral3,0,0,0,Yes,Yes,0,
mcr_lter1_fringingreef_pole4-5_qu5_20130408-1,Rebecca,LTER1,Fringing Reef,4,5,2013,LTER1-Fringing Reef-2013-P4,LTER1-Fringing Reef-2013-P4-Q5,Massive Porites,4.763,2.359,6,LTER1-Fringing Reef-2013-P4-Q5-coral6,0,0,1,Yes,No,1,
mcr_lter1_fringingreef_pole4-5_qu6_20130408-1,Rebecca,LTER1,Fringing Reef,4,6,2013,LTER1-Fringing Reef-2013-P4,LTER1-Fringing Reef-2013-P4-Q6,Massive Porites,16.104,5.787,1,LTER1-Fringing Reef-2013-P4-Q6-coral1,0,0,2,Yes,No,1,
mcr_lter3_fringingreef_pole1-2_qu2_20130412-1,Rebecca,LTER3,Fringing Reef,1,2,2013,LTER3-Fringing Reef-2013-P1,LTER3-Fringing Reef-2013-P1-Q2,Massive Porites,13.663,2.649,2,LTER3-Fringing Reef-2013-P1-Q2-coral2,0,0,2,Yes,Yes,1,
mcr_lter3_fringingreef_pole3-4_qu4_20100413,Rebecca,LTER3,Fringing Reef,3,4,2010,LTER3-Fringing Reef-2010-P3,LTER3-Fringing Reef-2010-P3-Q4,Massive Porites,3.246,1.087,1,LTER3-Fringing Reef-2010-P3-Q4-coral1,0,0,0,Yes,Yes,1,
mcr_lter3_fringingreef_pole4-5_qu2_20100413,Rebecca,LTER3,Fringing Reef,4,2,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q2,Massive Porites,7.510,3.940,9,LTER3-Fringing Reef-2010-P4-Q2-coral9,0,0,1,Yes,Yes,1,
mcr_lter4_fringingreef_pole2-3_qu1_20100413,Rebecca,LTER4,Fringing Reef,2,1,2010,LTER4-Fringing Reef-2010-P2,LTER4-Fringing Reef-2010-P2-Q1,Massive Porites,22.392,9.532,2,LTER4-Fringing Reef-2010-P2-Q1-coral2,0,0,3,Yes,No,1,
mcr_lter4_fringingreef_pole2-3_qu7_20100413,Rebecca,LTER4,Fringing Reef,2,7,2010,LTER4-Fringing Reef-2010-P2,LTER4-Fringing Reef-2010-P2-Q7,Massive Porites,7.463,1.795,1,LTER4-Fringing Reef-2010-P2-Q7-coral1,0,0,0,Yes,Yes,1,
mcr_lter4_fringingreef_pole5-6_qu7_20100413,Rebecca,LTER4,Fringing Reef,5,7,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q7,Massive Porites,8.928,5.545,1,LTER4-Fringing Reef-2010-P5-Q7-coral1,0,0,1,Yes,No,1,
mcr_lter4_fringingreef_pole5-6_qu8_20100413,Rebecca,LTER4,Fringing Reef,5,8,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q8,Massive Porites,8.833,2.279,3,LTER4-Fringing Reef-2010-P5-Q8-coral3,0,0,0,Yes,No,1,
mcr_lter4_fringingreef_pole5-6_qu8_20100413,Rebecca,LTER4,Fringing Reef,5,8,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q8,Massive Porites,9.453,3.122,2,LTER4-Fringing Reef-2010-P5-Q8-coral2,0,0,2,Yes,No,1,
mcr_lter1_fringingreef_pole5-6_qu8_20060417,Rebecca,LTER1,Fringing Reef,5,8,2006,LTER1-Fringing Reef-2006-P5,LTER1-Fringing Reef-2006-P5-Q8,Massive Porites,26.348,22.820,1,LTER1-Fringing Reef-2006-P5-Q8-coral1,0,0,3,Yes,No,2,
mcr_lter3_fringingreef_pole1-2_qu1_20060418,Rebecca,LTER3,Fringing Reef,1,1,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q1,Massive Porites,2.650,1.663,8,LTER3-Fringing Reef-2006-P1-Q1-coral8,0,0,0,Yes,Yes,2,
mcr_lter3_fringingreef_pole1-2_qu2_20060418,Rebecca,LTER3,Fringing Reef,1,2,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q2,Massive Porites,6.562,1.447,2,LTER3-Fringing Reef-2006-P1-Q2-coral2,0,0,2,Yes,No,2,
mcr_lter1_fringingreef_pole4-5_qu5_20130408-1,Rebecca,LTER1,Fringing Reef,4,5,2013,LTER1-Fringing Reef-2013-P4,LTER1-Fringing Reef-2013-P4-Q5,Massive Porites,11.244,4.830,8,LTER1-Fringing Reef-2013-P4-Q5-coral8,0,0,3,Yes,No,2,
mcr_lter3_fringingreef_pole1-2_qu2_20130412-1,Rebecca,LTER3,Fringing Reef,1,2,2013,LTER3-Fringing Reef-2013-P1,LTER3-Fringing Reef-2013-P1-Q2,Massive Porites,13.831,1.143,1,LTER3-Fringing Reef-2013-P1-Q2-coral1,0,0,0,Yes,Yes,2,
mcr_lter3_fringingreef_pole1-2_qu2_20130412-1,Rebecca,LTER3,Fringing Reef,1,2,2013,LTER3-Fringing Reef-2013-P1,LTER3-Fringing Reef-2013-P1-Q2,Massive Porites,2.840,2.305,6,LTER3-Fringing Reef-2013-P1-Q2-coral6,0,0,1,Yes,No,2,
mcr_lter3_fringingreef_pole4-5_qu2_20100413,Rebecca,LTER3,Fringing Reef,4,2,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q2,Massive Porites,10.727,7.171,3,LTER3-Fringing Reef-2010-P4-Q2-coral3,0,0,15,Yes,No,2,
mcr_lter4_fringingreef_pole2-3_qu1_20100413,Rebecca,LTER4,Fringing Reef,2,1,2010,LTER4-Fringing Reef-2010-P2,LTER4-Fringing Reef-2010-P2-Q1,Massive Porites,14.448,7.811,3,LTER4-Fringing Reef-2010-P2-Q1-coral3,0,0,5,Yes,No,2,
mcr_lter1_fringingreef_pole1-2_qu2_20060417,Rebecca,LTER1,Fringing Reef,1,2,2006,LTER1-Fringing Reef-2006-P1,LTER1-Fringing Reef-2006-P1-Q2,Massive Porites,18.160,13.141,3,LTER1-Fringing Reef-2006-P1-Q2-coral3,0,0,9,Yes,Yes,3,
mcr_lter3_fringingreef_pole1-2_qu2_20060418,Rebecca,LTER3,Fringing Reef,1,2,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q2,Massive Porites,5.763,4.796,6,LTER3-Fringing Reef-2006-P1-Q2-coral6,0,0,1,Yes,No,3,
mcr_lter3_fringingreef_pole4-5_qu1_20060418,Rebecca,LTER3,Fringing Reef,4,1,2006,LTER3-Fringing Reef-2006-P4,LTER3-Fringing Reef-2006-P4-Q1,Massive Porites,8.009,4.972,2,LTER3-Fringing Reef-2006-P4-Q1-coral2,0,0,1,Yes,Yes,3,
mcr_lter3_fringingreef_pole1-2_qu3_20060418,Rebecca,LTER3,Fringing Reef,1,3,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q3,Massive Porites,7.462,6.786,2,LTER3-Fringing Reef-2006-P1-Q3-coral2,0,0,0,Yes,Yes,3,
mcr_lter1_fringingreef_pole1-2_qu1_20130408-1,Rebecca,LTER1,Fringing Reef,1,1,2013,LTER1-Fringing Reef-2013-P1,LTER1-Fringing Reef-2013-P1-Q1,Massive Porites,29.149,17.055,1,LTER1-Fringing Reef-2013-P1-Q1-coral1,0,0,6,Yes,Yes,3,
mcr_lter1_fringingreef_pole5-6_qu7_20130408-1,Rebecca,LTER1,Fringing Reef,5,7,2013,LTER1-Fringing Reef-2013-P5,LTER1-Fringing Reef-2013-P5-Q7,Massive Porites,10.324,4.659,4,LTER1-Fringing Reef-2013-P5-Q7-coral4,0,0,3,Yes,No,3,
mcr_lter4_fringingreef_pole5-6_qu5_20100413,Rebecca,LTER4,Fringing Reef,5,5,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q5,Massive Porites,7.263,2.278,1,LTER4-Fringing Reef-2010-P5-Q5-coral1,0,0,5,Yes,Yes,3,
mcr_lter4_fringingreef_pole5-6_qu7_20100413,Rebecca,LTER4,Fringing Reef,5,7,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q7,Massive Porites,11.546,5.923,2,LTER4-Fringing Reef-2010-P5-Q7-coral2,0,0,2,Yes,No,3,
mcr_lter1_fringingreef_pole1-2_qu2_20060417,Rebecca,LTER1,Fringing Reef,1,2,2006,LTER1-Fringing Reef-2006-P1,LTER1-Fringing Reef-2006-P1-Q2,Massive Porites,11.910,2.600,2,LTER1-Fringing Reef-2006-P1-Q2-coral2,0,0,2,Yes,Yes,4,
mcr_lter3_fringingreef_pole3-4_qu1_20060418,Rebecca,LTER3,Fringing Reef,3,1,2006,LTER3-Fringing Reef-2006-P3,LTER3-Fringing Reef-2006-P3-Q1,Massive Porites,9.564,0.983,3,LTER3-Fringing Reef-2006-P3-Q1-coral3,0,0,6,Yes,Yes,4,
mcr_lter3_fringingreef_pole1-2_qu1_20130412-1,Rebecca,LTER3,Fringing Reef,1,1,2013,LTER3-Fringing Reef-2013-P1,LTER3-Fringing Reef-2013-P1-Q1,Massive Porites,10.274,6.569,1,LTER3-Fringing Reef-2013-P1-Q1-coral1,0,0,4,Yes,Yes,4,
mcr_lter3_fringingreef_pole1-2_qu2_20060418,Rebecca,LTER3,Fringing Reef,1,2,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q2,Massive Porites,4.320,3.356,3,LTER3-Fringing Reef-2006-P1-Q2-coral3,0,0,1,Yes,No,5,
mcr_lter3_fringingreef_pole1-2_qu7_20060418,Rebecca,LTER3,Fringing Reef,1,7,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q7,Massive Porites,6.222,3.519,1,LTER3-Fringing Reef-2006-P1-Q7-coral1,0,0,8,Yes,No,5,
mcr_lter3_fringingreef_pole3-4_qu6_20060418,Rebecca,LTER3,Fringing Reef,3,6,2006,LTER3-Fringing Reef-2006-P3,LTER3-Fringing Reef-2006-P3-Q6,Massive Porites,4.500,2.548,4,LTER3-Fringing Reef-2006-P3-Q6-coral4,0,0,2,Yes,No,5,
mcr_lter3_fringingreef_pole5-6_qu7_20060418,Rebecca,LTER3,Fringing Reef,5,7,2006,LTER3-Fringing Reef-2006-P5,LTER3-Fringing Reef-2006-P5-Q7,Massive Porites,2.913,0.898,4,LTER3-Fringing Reef-2006-P5-Q7-coral4,0,0,1,Yes,No,5,
mcr_lter3_fringingreef_pole1-2_qu3_20100413,Rebecca,LTER3,Fringing Reef,1,3,2010,LTER3-Fringing Reef-2010-P1,LTER3-Fringing Reef-2010-P1-Q3,Massive Porites,5.430,4.772,3,LTER3-Fringing Reef-2010-P1-Q3-coral3,0,0,5,Yes,No,5,
mcr_lter3_fringingreef_pole4-5_qu1_20100413,Rebecca,LTER3,Fringing Reef,4,1,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q1,Massive Porites,11.161,4.804,6,LTER3-Fringing Reef-2010-P4-Q1-coral6,0,0,4,Yes,Yes,5,
mcr_lter4_fringingreef_pole3-4_qu1_20100413,Rebecca,LTER4,Fringing Reef,3,1,2010,LTER4-Fringing Reef-2010-P3,LTER4-Fringing Reef-2010-P3-Q1,Massive Porites,11.719,7.915,1,LTER4-Fringing Reef-2010-P3-Q1-coral1,0,0,3,Yes,No,5,
mcr_lter4_fringingreef_pole5-6_qu6_20100413,Rebecca,LTER4,Fringing Reef,5,6,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q6,Massive Porites,6.968,2.537,3,LTER4-Fringing Reef-2010-P5-Q6-coral3,0,0,6,Yes,No,5,
mcr_lter4_fringingreef_pole5-6_qu7_20100413,Rebecca,LTER4,Fringing Reef,5,7,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q7,Massive Porites,7.241,4.692,5,LTER4-Fringing Reef-2010-P5-Q7-coral5,0,0,4,Yes,Yes,5,
mcr_lter3_fringingreef_pole2-3_qu8_20060418,Rebecca,LTER3,Fringing Reef,2,8,2006,LTER3-Fringing Reef-2006-P2,LTER3-Fringing Reef-2006-P2-Q8,Massive Porites,12.454,5.665,1,LTER3-Fringing Reef-2006-P2-Q8-coral1,0,0,6,Yes,No,6,
mcr_lter3_fringingreef_pole1-2_qu3_20060418,Rebecca,LTER3,Fringing Reef,1,3,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q3,Massive Porites,4.637,2.852,1,LTER3-Fringing Reef-2006-P1-Q3-coral1,0,0,0,Yes,No,6,
mcr_lter3_fringingreef_pole3-4_qu3_20060418,Rebecca,LTER3,Fringing Reef,3,3,2006,LTER3-Fringing Reef-2006-P3,LTER3-Fringing Reef-2006-P3-Q3,Massive Porites,5.411,3.145,1,LTER3-Fringing Reef-2006-P3-Q3-coral1,0,0,0,Yes,Yes,7,
mcr_lter4_fringingreef_pole2-3_qu2_20100413,Rebecca,LTER4,Fringing Reef,2,2,2010,LTER4-Fringing Reef-2010-P2,LTER4-Fringing Reef-2010-P2-Q2,Massive Porites,10.498,5.142,1,LTER4-Fringing Reef-2010-P2-Q2-coral1,0,0,3,Yes,No,7,
mcr_lter4_fringingreef_pole5-6_qu5_20100413,Rebecca,LTER4,Fringing Reef,5,5,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q5,Massive Porites,7.908,6.312,2,LTER4-Fringing Reef-2010-P5-Q5-coral2,0,0,1,Yes,No,7,
mcr_lter3_fringingreef_pole1-2_qu2_20060418,Rebecca,LTER3,Fringing Reef,1,2,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q2,Massive Porites,13.356,8.598,1,LTER3-Fringing Reef-2006-P1-Q2-coral1,0,0,1,Yes,No,8,
mcr_lter3_fringingreef_pole4-5_qu1_20100413,Rebecca,LTER3,Fringing Reef,4,1,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q1,Massive Porites,12.128,10.318,2,LTER3-Fringing Reef-2010-P4-Q1-coral2,0,0,1,Yes,No,8,
mcr_lter3_fringingreef_pole4-5_qu1_20100413,Rebecca,LTER3,Fringing Reef,4,1,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q1,Massive Porites,12.305,7.563,3,LTER3-Fringing Reef-2010-P4-Q1-coral3,0,0,2,Yes,No,8,
mcr_lter3_fringingreef_pole3-4_qu1_20060418,Rebecca,LTER3,Fringing Reef,3,1,2006,LTER3-Fringing Reef-2006-P3,LTER3-Fringing Reef-2006-P3-Q1,Massive Porites,6.647,4.902,4,LTER3-Fringing Reef-2006-P3-Q1-coral4,0,0,5,Yes,No,9,
mcr_lter3_fringingreef_pole4-5_qu2_20060418,Rebecca,LTER3,Fringing Reef,4,2,2006,LTER3-Fringing Reef-2006-P4,LTER3-Fringing Reef-2006-P4-Q2,Massive Porites,6.851,6.713,2,LTER3-Fringing Reef-2006-P4-Q2-coral2,0,0,1,Yes,No,9,
mcr_lter3_fringingreef_pole4-5_qu3_20060418,Rebecca,LTER3,Fringing Reef,4,3,2006,LTER3-Fringing Reef-2006-P4,LTER3-Fringing Reef-2006-P4-Q3,Massive Porites,6.464,5.833,1,LTER3-Fringing Reef-2006-P4-Q3-coral1,0,0,4,Yes,No,9,
mcr_lter3_fringingreef_pole5-6_qu8_20060418,Rebecca,LTER3,Fringing Reef,5,8,2006,LTER3-Fringing Reef-2006-P5,LTER3-Fringing Reef-2006-P5-Q8,Massive Porites,9.515,4.818,1,LTER3-Fringing Reef-2006-P5-Q8-coral1,0,0,6,Yes,Yes,9,
mcr_lter3_fringingreef_pole1-2_qu2_20100413,Rebecca,LTER3,Fringing Reef,1,2,2010,LTER3-Fringing Reef-2010-P1,LTER3-Fringing Reef-2010-P1-Q2,Massive Porites,17.311,9.548,1,LTER3-Fringing Reef-2010-P1-Q2-coral1,0,0,2,Yes,Yes,10,
mcr_lter3_fringingreef_pole4-5_qu3_20100413,Rebecca,LTER3,Fringing Reef,4,3,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q3,Massive Porites,11.969,6.891,2,LTER3-Fringing Reef-2010-P4-Q3-coral2,0,0,33,Yes,Yes,10,
mcr_lter4_fringingreef_pole5-6_qu8_20100413,Rebecca,LTER4,Fringing Reef,5,8,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q8,Massive Porites,19.834,12.907,1,LTER4-Fringing Reef-2010-P5-Q8-coral1,0,0,8,Yes,Yes,12,
mcr_lter3_fringingreef_pole3-4_qu4_20100413,Rebecca,LTER3,Fringing Reef,3,4,2010,LTER3-Fringing Reef-2010-P3,LTER3-Fringing Reef-2010-P3-Q4,Massive Porites,7.530,3.955,2,LTER3-Fringing Reef-2010-P3-Q4-coral2,0,0,3,Yes,Yes,13,
mcr_lter4_fringingreef_pole5-6_qu6_20100413,Rebecca,LTER4,Fringing Reef,5,6,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q6,Massive Porites,17.718,13.333,1,LTER4-Fringing Reef-2010-P5-Q6-coral1,0,0,8,Yes,No,13,
mcr_lter3_fringingreef_pole4-5_qu2_20100413,Rebecca,LTER3,Fringing Reef,4,2,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q2,Massive Porites,19.686,13.967,11,LTER3-Fringing Reef-2010-P4-Q2-coral11,0,0,1,Yes,Yes,19,
mcr_lter3_fringingreef_pole4-5_qu1_20060418,Rebecca,LTER3,Fringing Reef,4,1,2006,LTER3-Fringing Reef-2006-P4,LTER3-Fringing Reef-2006-P4-Q1,Massive Porites,10.367,3.175,1,LTER3-Fringing Reef-2006-P4-Q1-coral1,0,0,3,Yes,No,25,
mcr_lter4_fringingreef_pole5-6_qu7_20100413,Rebecca,LTER4,Fringing Reef,5,7,2010,LTER4-Fringing Reef-2010-P5,LTER4-Fringing Reef-2010-P5-Q7,Massive Porites,16.076,13.346,4,LTER4-Fringing Reef-2010-P5-Q7-coral4,0,0,10,Yes,No,27,
mcr_lter3_fringingreef_pole4-5_qu6_20060418,Rebecca,LTER3,Fringing Reef,4,6,2006,LTER3-Fringing Reef-2006-P4,LTER3-Fringing Reef-2006-P4-Q6,Massive Porites,10.451,6.284,1,LTER3-Fringing Reef-2006-P4-Q6-coral1,0,0,2,Yes,No,31,
mcr_lter3_fringingreef_pole1-2_qu2_20130412-1,Rebecca,LTER3,Fringing Reef,1,2,2013,LTER3-Fringing Reef-2013-P1,LTER3-Fringing Reef-2013-P1-Q2,Massive Porites,14.196,7.206,3,LTER3-Fringing Reef-2013-P1-Q2-coral3,0,0,17,Yes,No,95,
mcr_lter3_fringingreef_pole5-6_qu7_20060418,Rebecca,LTER3,Fringing Reef,5,7,2006,LTER3-Fringing Reef-2006-P5,LTER3-Fringing Reef-2006-P5-Q7,Massive Porites,25.989,12.003,1,LTER3-Fringing Reef-2006-P5-Q7-coral1,0,0,1,Yes,No,126,
mcr_lter3_fringingreef_pole1-2_qu1_20060418,Rebecca,LTER3,Fringing Reef,1,1,2006,LTER3-Fringing Reef-2006-P1,LTER3-Fringing Reef-2006-P1-Q1,Massive Porites,23.966,15.456,1,LTER3-Fringing Reef-2006-P1-Q1-coral1,0,0,0,Yes,Yes,247,
mcr_lter1_fringingreef_pole4-5_qu6_20100411,Rebecca,LTER1,Fringing Reef,4,6,2010,LTER1-Fringing Reef-2010-P4,LTER1-Fringing Reef-2010-P4-Q6,Massive Porites,20.271,15.674,1,LTER1-Fringing Reef-2010-P4-Q6-coral1,0,0,3,Yes,No,12,thin scrap-like scars
mcr_lter1_fringingreef_pole1-2_qu3_20100411,Rebecca,LTER1,Fringing Reef,1,3,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q3,Massive Porites,10.487,2.405,1,LTER1-Fringing Reef-2010-P1-Q3-coral1,0,0,1,Yes,No,2,thin scrap-like scars
mcr_lter1_fringingreef_pole1-2_qu5_20100411,Rebecca,LTER1,Fringing Reef,1,5,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q5,Massive Porites,18.364,12.556,1,LTER1-Fringing Reef-2010-P1-Q5-coral1,0,0,9,Yes,Yes,5,thin scrap-like scars
mcr_lter3_fringingreef_pole4-5_qu3_20100413,Rebecca,LTER3,Fringing Reef,4,3,2010,LTER3-Fringing Reef-2010-P4,LTER3-Fringing Reef-2010-P4-Q3,Massive Porites,11.547,6.844,1,LTER3-Fringing Reef-2010-P4-Q3-coral1,0,0,0,Yes,Yes,8,thin scrap-like scars
mcr_lter1_fringingreef_pole5-6_qu5_20060417,Rebecca,LTER1,Fringing Reef,5,5,2006,LTER1-Fringing Reef-2006-P5,LTER1-Fringing Reef-2006-P5-Q5,Massive Porites,28.008,18.795,3,LTER1-Fringing Reef-2006-P5-Q5-coral3,0,0,12,Yes,Yes,15,thin scrap-like scars
mcr_lter1_fringingreef_pole4-5_qu7_20100411,Rebecca,LTER1,Fringing Reef,4,7,2010,LTER1-Fringing Reef-2010-P4,LTER1-Fringing Reef-2010-P4-Q7,Massive Porites,11.640,7.239,1,LTER1-Fringing Reef-2010-P4-Q7-coral1,0,0,1,Yes,Yes,0,No transect
mcr_lter1_fringingreef_pole4-5_qu8_20100411,Rebecca,LTER1,Fringing Reef,4,8,2010,LTER1-Fringing Reef-2010-P4,LTER1-Fringing Reef-2010-P4-Q8,Massive Porites,6.635,6.194,1,LTER1-Fringing Reef-2010-P4-Q8-coral1,0,0,0,Yes,No,0,No transect
