Photo Name,Name,Site,Habitat,Pole,Quad,Year,Pole ID,Quad ID,Genus,Surface.area.cm2,Wide.Diameter.cm,Perp.Diameter.cm,Coral Number,Coral ID,No.Branches,No.Bitten.Branches,No.Scars.Massive.Corals,Part.Dead.Colony,Out.of.frame,No.Macroborers,Notes
mcr_lter1_fringingreef_pole1-2_qu1_20060417,Rebecca,LTER1,Fringing Reef,1,1,2006,LTER1-Fringing Reef-2006-P1,LTER1-Fringing Reef-2006-P1-Q1,Massive Porites,69.644,13.633,6.811,1,LTER1-Fringing Reef-2006-P1-Q1-coral1,0,0,0,Yes,No,0,
mcr_lter1_fringingreef_pole1-2_qu1_20060417,Rebecca,LTER1,Fringing Reef,1,1,2006,LTER1-Fringing Reef-2006-P1,LTER1-Fringing Reef-2006-P1-Q1,Massive Porites,162.369,19.777,11.566,2,LTER1-Fringing Reef-2006-P1-Q1-coral3,0,0,3,Yes,No,2,
mcr_lter1_fringingreef_pole1-2_qu1_20060417,Rebecca,LTER1,Fringing Reef,1,1,2006,LTER1-Fringing Reef-2006-P1,LTER1-Fringing Reef-2006-P1-Q1,Massive Porites,718.029,19.254,11.922,3,LTER1-Fringing Reef-2006-P1-Q1-coral4,0,0,4,Yes,No,10,
mcr_lter1_fringingreef_pole1-2_qu1_20060417,Rebecca,LTER1,Fringing Reef,1,1,2006,LTER1-Fringing Reef-2006-P1,LTER1-Fringing Reef-2006-P1-Q1,Massive Porites,151.46,38.642,17.545,4,LTER1-Fringing Reef-2006-P1-Q1-coral5,0,0,2,Yes,Yes,1,
mcr_lter1_fringingreef_pole1-2_qu1_20100411,Rebecca,LTER1,Fringing Reef,1,1,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q1,Massive Porites,134.728,22.198,7.739,1,LTER1-Fringing Reef-2010-P1-Q1-coral1,0,0,1,Yes,Yes,0,"scale set with ruler, not transect tape"
mcr_lter1_fringingreef_pole1-2_qu1_20100411,Rebecca,LTER1,Fringing Reef,1,1,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q1,Massive Porites,55.179,13.036,7.672,2,LTER1-Fringing Reef-2010-P1-Q1-coral2,0,0,1,Yes,Yes,1,"scale set with ruler, not transect tape"
mcr_lter1_fringingreef_pole1-2_qu1_20100411,Rebecca,LTER1,Fringing Reef,1,1,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q1,Massive Porites,2.85,4.122,0.642,3,LTER1-Fringing Reef-2010-P1-Q1-coral3,0,0,0,Yes,No,0,"scale set with ruler, not transect tape"
mcr_lter1_fringingreef_pole1-2_qu1_20100411,Rebecca,LTER1,Fringing Reef,1,1,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q1,Massive Porites,10.847,12.413,0.806,4,LTER1-Fringing Reef-2010-P1-Q1-coral4,0,0,1,Yes,Yes,0,"scale set with ruler, not transect tape"
mcr_lter1_fringingreef_pole1-2_qu1_20100411,Rebecca,LTER1,Fringing Reef,1,1,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q1,Massive Porites,5.073,8.483,0.494,5,LTER1-Fringing Reef-2010-P1-Q1-coral5,0,0,0,Yes,Yes,1,"scale set with ruler, not transect tape"
mcr_lter1_fringingreef_pole1-2_qu1_20100411,Rebecca,LTER1,Fringing Reef,1,1,2010,LTER1-Fringing Reef-2010-P1,LTER1-Fringing Reef-2010-P1-Q1,Massive Porites,25.007,12.412,3.363,6,LTER1-Fringing Reef-2010-P1-Q1-coral6,0,0,0,Yes,No,0,"scale set with ruler, not transect tape"
