photo,dcount_mbb,dcount_scar,pcount_mbb,pcount_scar,area,site
Adriana,3,44,3,48,740.884,channel
Buzzard,0,9,0,9,850.952,channel
Cas,0,12,4,11,721.07,channel
Catastrophe,67,20,47,52,339.784,gump
Champion,46,6,3,3,241.279,gump
Chocolate,8,45,4,6,311.022,gump
Cowrie,101,6,23,4,230.341,gump
Dan,0,135,0,154,1378.529,channel
Density,85,10,46,7,113.597,gump
Dishes,1,35,0,15,806.451,channel
Freaky,0,63,2,36,695.371,channel
Gum,46,31,9,0,239.543,gump
Hacker,65,2,10,0,235.411,gump
Homework,1,21,6,8,1376.949,channel
Iaorana,0,240,5,110,932.277,channel
Katrina,1,3,2,8,469.599,channel
Kelly,1,327,8,223,690.992,channel
Mallory,7,56,12,44,585.265,channel
Nail,87,17,15,7,232.845,gump
Orcy,8,42,10,45,1391.113,channel
Parrotfish,0,71,6,18,2244.334,channel
Pile,2,12,5,41,860.675,channel
Potato,1,114,8,70,723.363,channel
RuPaul,20,16,1,0,1005.238,gump
Safety,134,3,50,0,156.737,gump
Shewolf,92,14,47,47,474.667,gump
Snails,2,18,4,22,1062.67,channel
Snakey,3,10,2,3,634.789,channel
Thurber,3,191,9,243,2257.301,channel
Vega,5,77,11,121,1774.346,channel
Candy,11,58,8,26,1168.597,gump
Centipede,37,19,14,3,NA,gump
Costume,14,3,6,0,NA,gump
Graveyard,169,36,63,13,1335.688,gump
Halloween,39,26,18,8,NA,gump
Skeleton,12,8,6,6,NA,gump
Spider,49,114,18,16,839.744,gump
Witch,0,31,0,12,NA,gump
