"","V1","mean.p","mean.t","mean.obs.dist","mean.null.dist","pval.ttest.p","pval.ttest.t","pval.ttest.lc","pval.ttest.uc"
"138","coral 6g.2015",NA,NA,NA,NA,NA,NA,NA,NA
"139","coral 6g.2016",NA,NA,NA,NA,NA,NA,NA,NA
"140","coral 6h.2010",0.585812615466066,-0.318573193400139,131.190567746127,114.801311571707,1,65.7811675211431,-Inf,0.59922300923343
"141","coral 6h.2011",NA,NA,NA,NA,NA,NA,NA,NA
"142","coral 6h.2012",NA,NA,NA,NA,NA,NA,NA,NA
"143","coral 6h.2013",0.496532654125531,0.450928624358262,83.5742547583806,102.742601170159,1,49.9375261625363,-Inf,0.511254300186873
"144","coral 6h.2014",0.553894757944546,-0.355036581772211,90.4411112978343,86.0240664178838,1,57.4191700492859,-Inf,0.568342936574293
"145","coral 6h.2015",NA,NA,NA,NA,NA,NA,NA,NA
"146","coral 6i.2011",NA,NA,NA,NA,NA,NA,NA,NA
"147","coral 6i.2013",NA,NA,NA,NA,NA,NA,NA,NA
"148","coral 6i.2014",NA,NA,NA,NA,NA,NA,NA,NA
"149","coral 6i.2015",NA,NA,NA,NA,NA,NA,NA,NA
"150","coral 6i.2016",NA,NA,NA,NA,NA,NA,NA,NA
"151","coral 6j.2010",NA,NA,NA,NA,NA,NA,NA,NA
"152","coral 6j.2011",NA,NA,NA,NA,NA,NA,NA,NA
"153","coral 6j.2012",NA,NA,NA,NA,NA,NA,NA,NA
"154","coral 6j.2013",NA,NA,NA,NA,NA,NA,NA,NA
"155","coral 6j.2014",NA,NA,NA,NA,NA,NA,NA,NA
"156","coral 6j.2015",NA,NA,NA,NA,NA,NA,NA,NA
"157","coral 6j.2016",NA,NA,NA,NA,NA,NA,NA,NA
"158","coral 6k.2010",NA,NA,NA,NA,NA,NA,NA,NA
"159","coral 6k.2011",NA,NA,NA,NA,NA,NA,NA,NA
"160","coral 6l.2012",NA,NA,NA,NA,NA,NA,NA,NA
"161","coral 6l.2013",NA,NA,NA,NA,NA,NA,NA,NA
"162","coral 6l.2014",NA,NA,NA,NA,NA,NA,NA,NA
"163","coral 6l.2015",NA,NA,NA,NA,NA,NA,NA,NA
"164","coral 6l.2016",0.292398536225739,-3.21823495827527,295.268772059914,166.888860476988,1,28.5847729335286,-Inf,0.306359822072945
"165","coral 6m.2013",NA,NA,NA,NA,NA,NA,NA,NA
"166","coral 6n.2015",NA,NA,NA,NA,NA,NA,NA,NA
"167","coral 6n.2016",NA,NA,NA,NA,NA,NA,NA,NA
"168","na.2005",NA,NA,NA,NA,NA,NA,NA,NA
